model,lr,bs,epochs,dp,nmul,nmicro,l2,eps,tr_acc,tr_loss,val_acc,val_loss
0,0.1,250,1,FALSE,NA,NA,NA,NA,0.2327599972486496,2.1155929565429688,0.30489999055862427,1.9175306558609009
0,0.1,250,2,FALSE,NA,NA,NA,NA,0.3715600073337555,1.7855415344238281,0.412200003862381,1.645132064819336
0,0.1,250,3,FALSE,NA,NA,NA,NA,0.45903998613357544,1.5299887657165527,0.5149999856948853,1.3658570051193237
0,0.1,250,4,FALSE,NA,NA,NA,NA,0.5165799856185913,1.3690829277038574,0.5483999848365784,1.274131417274475
0,0.1,250,5,FALSE,NA,NA,NA,NA,0.5531200170516968,1.2648594379425049,0.574999988079071,1.2178469896316528
0,0.1,250,6,FALSE,NA,NA,NA,NA,0.5871400237083435,1.1708018779754639,0.5712000131607056,1.2173634767532349
0,0.1,250,7,FALSE,NA,NA,NA,NA,0.6170399785041809,1.0937873125076294,0.6187000274658203,1.1001288890838623
0,0.1,250,8,FALSE,NA,NA,NA,NA,0.6432999968528748,1.0199322700500488,0.604200005531311,1.1335835456848145
0,0.1,250,9,FALSE,NA,NA,NA,NA,0.6649600267410278,0.9594249129295349,0.6358000040054321,1.053494930267334
0,0.1,250,10,FALSE,NA,NA,NA,NA,0.6858999729156494,0.8945358395576477,0.6419000029563904,1.0408365726470947
0,0.1,250,11,FALSE,NA,NA,NA,NA,0.7077400088310242,0.8376150131225586,0.6495000123977661,1.0173345804214478
0,0.1,250,12,FALSE,NA,NA,NA,NA,0.7297199964523315,0.7805588245391846,0.6452999711036682,1.0297108888626099
0,0.1,250,13,FALSE,NA,NA,NA,NA,0.748199999332428,0.7218899130821228,0.6460999846458435,1.044523000717163
0,0.1,250,14,FALSE,NA,NA,NA,NA,0.7680400013923645,0.6683784127235413,0.6549999713897705,1.028526782989502
0,0.1,250,15,FALSE,NA,NA,NA,NA,0.7853800058364868,0.6192957162857056,0.6517000198364258,1.0626752376556396
0,0.1,250,16,FALSE,NA,NA,NA,NA,0.8066400289535522,0.5563974380493164,0.6578999757766724,1.0758470296859741
0,0.1,250,17,FALSE,NA,NA,NA,NA,0.8267800211906433,0.5084807872772217,0.6269000172615051,1.1834461688995361
0,0.1,250,18,FALSE,NA,NA,NA,NA,0.8436999917030334,0.4593210518360138,0.6344000101089478,1.1915093660354614
0,0.1,250,19,FALSE,NA,NA,NA,NA,0.8651999831199646,0.39428719878196716,0.65420001745224,1.1932541131973267
0,0.1,250,20,FALSE,NA,NA,NA,NA,0.8811600208282471,0.3554725646972656,0.6425999999046326,1.3142794370651245
0,0.1,250,21,FALSE,NA,NA,NA,NA,0.8998600244522095,0.2992309629917145,0.6420999765396118,1.3854420185089111
0,0.1,250,22,FALSE,NA,NA,NA,NA,0.913640022277832,0.2651621997356415,0.6438000202178955,1.3994081020355225
0,0.1,250,23,FALSE,NA,NA,NA,NA,0.9341800212860107,0.20861558616161346,0.6477000117301941,1.4480420351028442
0,0.1,250,24,FALSE,NA,NA,NA,NA,0.9480999708175659,0.17280863225460052,0.6450999975204468,1.5461567640304565
0,0.1,250,25,FALSE,NA,NA,NA,NA,0.9589599967002869,0.1429903656244278,0.6477000117301941,1.5200449228286743
0,0.1,250,26,FALSE,NA,NA,NA,NA,0.974120020866394,0.10071470588445663,0.6504999995231628,1.7218519449234009
0,0.1,250,27,FALSE,NA,NA,NA,NA,0.9857800006866455,0.06611383706331253,0.6525999903678894,1.7587294578552246
0,0.1,250,28,FALSE,NA,NA,NA,NA,0.9428399801254272,0.5317029356956482,0.2694999873638153,2.0526578426361084
